RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31,2026-08-31
102001,0,United States,country,,1253.2912315466497,1259.5966819675903,1268.2092145717838,1278.2252526886184,1287.487648924008,1295.862734293606,1301.5473148046337,1304.8135778921658,1306.0378666949266,1306.0265716774747,1306.5451359007025,1307.7784811092743,1311.65798595621,1316.9606735868424,1323.447416360096,1332.2851474686265,1341.2796716819169,1349.4552291988864,1353.6610376458132,1355.1996788377326,1354.1383299865697,1352.23153889633,1350.5068758322557,1350.7030388151363,1356.296560269625,1366.5377440852503,1379.931980271551,1391.8630266465718,1401.906984467662,1409.6473932703786,1414.2584173927455,1415.6846789606386,1416.350566392329,1415.9561968542957,1416.8371630148815,1418.3270829593612,1423.1880819730927,1430.7546144848116,1441.7835221066284,1452.6984900212037,1462.2609981338421,1469.3781441749247,1473.6699102875762,1476.081522439884,1475.9308756398252,1476.3715700589717,1477.90584573044,1480.8649670548928,1485.529405376539,1493.285912719174,1504.702142823876,1516.4020486986906,1526.714113738267,1534.2850012091512,1538.7048913623573,1540.363030178067,1540.4084279667009,1540.5007903561848,1541.4973830574684,1542.977689293003,1548.3602610017438,1557.1913621592864,1567.480659476147,1573.6686379485857,1580.3732060388768,1589.2279528126242,1602.8583150132793,1614.6398120674703,1625.060640871948,1633.479548021478,1640.0600064736977,1647.1683916660825,1657.9799669147517,1672.3739901622,1689.4886215725342,1708.823301240301,1732.3721817508888,1757.1307458983308,1780.6360378619231,1802.549430628303,1820.5121484621684,1834.2238882922475,1844.8017987834714,1856.1176707924756,1870.1381273870556,1887.9455938328485,1907.4870837004519,1928.366269882304,1947.0755322916223,1965.101887171637,1979.5453437110582,1990.1361541970616,1994.6043762983347,1996.5908926832353,1995.5352508727347,1997.9038374527033,2002.7263745430428,2012.3499375180284,2025.8892640780193,2040.120364898253,2053.146969918951,2062.740833845141,2071.6667902133436,2078.4859636139404,2082.1655578932764,2082.7816272616647,2082.24031700407,2084.5946466117434,2091.5706807441393,2102.531229379082,2116.583486625421,2129.012218370591,2140.010688007567,2148.394736656143,2155.317588500604,2159.7311352021793,2160.649692454934,2160.1622457800777,2161.438593339515,2164.360019997693,2171.816236462762,2181.3654884800303,2193.0269660109043,2202.717471464097,2210.469792865501,2216.1161421140923,2219.437212598431,2222.051135242549,2223.5402541889853,2224.561505329782,2224.266697207338,2224.9444485689714,2228.8998132604347,2236.6915508276993,2248.044185328461,2261.5244889781798,2272.693562972911,2280.9050701785022,2285.2458417517,2289.1560980615154
394913,1,"New York, NY",msa,NY,1969.4753301224068,1990.2031568698485,2010.6652967421571,2024.0301534268388,2026.2486662870704,2038.890162061311,2042.80740295166,2042.9245740033336,2043.3100697098805,2042.919058229411,2045.108002398683,2045.5081429114052,2051.955738468705,2062.469725662607,2075.0170049199915,2088.0287286721896,2099.087030001607,2100.908960409361,2105.174597637649,2101.8033892809513,2101.8346479654742,2095.2547963103098,2103.9721807832116,2110.6940877433863,2127.352993389263,2138.313190458442,2156.036857591088,2168.648487555152,2180.0975942604246,2184.4565717192795,2190.8809558185017,2187.590221808953,2208.0872689071402,2214.512136715923,2213.786263645944,2192.701240549305,2191.10643266676,2203.2318960285784,2217.1612733468223,2234.2222911199938,2243.962690715493,2251.1616600588354,2251.6852908034034,2257.57731991319,2260.397195992621,2259.422904378409,2262.1215573265927,2261.6287817739167,2264.797584998416,2280.8786786368732,2305.538503583142,2322.761524154739,2331.83935842128,2337.5629231083576,2338.6375821608613,2329.590706738394,2315.1381513856395,2325.32148122787,2331.9536915936123,2346.96888587041,2347.2552956657723,2357.3192773681194,2370.541668283369,2387.1700700834685,2403.826003934771,2417.484884243048,2426.140955401624,2431.1726212614735,2431.7279386737746,2423.752186652035,2435.4201251127965,2439.2220114873985,2465.41283494312,2483.7455485664777,2525.7618278770906,2551.2197608287092,2571.2150036298276,2590.47906882604,2610.7550129586057,2627.301663792775,2622.6533265043554,2635.8145961154723,2633.7520565487216,2670.5751923831117,2696.4701864364824,2744.5690389490765,2772.6005398125953,2800.6269875178236,2830.5255664501083,2853.9777308470425,2884.65456783302,2902.2304857100153,2909.7103853456147,2906.559490831671,2903.0923126589078,2903.1827417214818,2915.5380679509954,2941.6083165961536,2985.806831907669,3020.7810652598323,3044.9698884506784,3045.0866651208007,3053.6479650158917,3061.461541479186,3068.92045037222,3066.074206400628,3069.313967084587,3092.7173542134806,3120.988953357199,3143.8846577404433,3172.6793060672217,3188.000477450271,3201.2474791230557,3203.16747945364,3214.834736910121,3222.059339675283,3215.566938488344,3209.5628497370976,3219.6982695683864,3252.937961682274,3270.7386827484447,3272.4262028399385,3271.8069940784576,3287.995792823875,3313.902776642104,3329.0756527392105,3336.628902914042,3340.85176704969,3333.723025914166,3339.1794285031706,3351.4832064053894,3360.869385506032,3374.047078683055,3380.4604671613865,3406.3121049209467,3424.319941898234,3457.0324632718743,3468.263201661378,3482.7269457967486,3470.9179950578377
753899,2,"Los Angeles, CA",msa,CA,2481.676154859203,2496.1970482931224,2518.653809618876,2533.10061186829,2556.6467759840443,2573.217698419295,2592.254666030642,2598.1858161349855,2607.061541004849,2610.7244202743263,2610.1255178220686,2615.1358918000933,2627.8981269529772,2647.7463618365155,2666.5315974984455,2681.6847511369515,2711.244088769637,2726.470376333765,2743.71527198728,2743.035042352702,2743.428571538264,2734.003858575104,2725.444144985648,2727.164769498588,2750.3094025072114,2777.4314850898777,2808.8715149306718,2829.480291732804,2854.311381896948,2863.8107517516373,2876.8802740815863,2877.2460948228654,2882.5973294356663,2874.698794284408,2882.3028488440805,2885.2848399697573,2902.4112841233073,2914.4864450709542,2937.888931946893,2956.9440682730688,2974.220179705288,2988.5775909263925,2998.7500133682624,3002.4068713755432,3005.1136739705057,3011.343436344962,3026.7550622461686,3030.548498685842,3037.2689042529273,3039.3836190939874,3064.2483070782405,3078.834431153786,3105.3195204884946,3113.448906769946,3123.6132278893874,3120.8774867270467,3122.0094500079376,3124.563065155688,3129.312521510866,3132.3713639494563,3142.3229944439154,3157.4848296312757,3167.7486833387075,3159.7549790277885,3158.343251922647,3173.112787832738,3207.5492597609373,3220.434266398407,3233.761964701411,3238.716575298128,3260.1044480226838,3271.1120636170913,3301.078721868141,3321.4513047579576,3354.457164643074,3372.5214770534267,3401.6166582374394,3433.129210569222,3467.2283707878632,3511.2160670866783,3546.953651057729,3575.1263323003172,3598.2503492283886,3624.493819040468,3656.173765837532,3696.2552175307164,3739.8148022553332,3782.9194004420283,3819.213367760352,3845.9914188855396,3869.1707965103783,3876.2835186349007,3880.9534330373035,3888.025581202637,3894.123668323607,3893.1484432490156,3898.8237266214387,3907.5777677023298,3935.4799390533067,3962.9031634133453,3991.225141646128,4016.6123844371577,4033.088670743412,4048.559188532571,4046.757767362572,4045.4200823504543,4047.412937268826,4059.8715063990003,4080.114382842747,4099.643404874074,4122.889516540942,4143.613038696103,4157.098602905009,4174.807442680106,4189.947837371314,4202.239743059732,4205.898081844862,4202.649123251023,4206.031618489941,4208.645357546462,4276.875547205671,4332.259337329514,4386.086780784188,4371.530476430643,4366.2156772567505,4364.184524943635,4361.242209143892,4357.645632353047,4353.998864232437,4349.429868327858,4353.047874681537,4343.939577812635,4349.528758989133,4356.652394776739,4389.445300110358,4421.5634498549125,4453.9074372203895,4465.926965769619,4469.576440358751,4468.54166047307
394463,3,"Chicago, IL",msa,IL,1463.3339057142357,1468.2827050615301,1474.691757785977,1487.1600219352345,1497.4998041541267,1507.1709518598743,1508.896028578148,1510.6477943027433,1505.8881058838642,1499.675880716848,1494.3749757402024,1498.2147035398818,1505.5167879000912,1514.9992477709127,1524.804477657039,1533.8422331420277,1540.8604687393397,1543.8941649574042,1547.4662928153662,1550.5422761173968,1546.3059356478184,1539.407557945851,1532.5157960936092,1526.6991739741184,1533.4760495526623,1543.0097417748411,1561.837591360255,1575.316604809523,1587.4473248776312,1593.2859772349636,1594.2778157982902,1590.9235243094886,1587.6685088556133,1579.3609371525515,1575.849941723112,1574.466588934158,1580.654941841123,1589.2516488898416,1603.0844631113882,1619.203551980139,1630.2141408101088,1635.6456797909843,1635.201559107587,1634.6661694314814,1633.4966052241216,1630.038948982463,1626.9171886365236,1621.0161440957802,1627.350141241036,1633.4991452931,1650.3963392968994,1662.5036852404178,1673.9800797089358,1679.6866070226379,1682.2106750291848,1683.1087224679015,1682.844793676688,1678.3367341129897,1674.0093212948484,1669.852903656656,1672.2180391946777,1684.3686670499326,1698.6830278323373,1710.7538649985913,1713.8963352676144,1722.0443699141265,1731.09096548723,1741.5696097882374,1741.9200701912112,1741.7352453486392,1740.0098735398471,1745.8652166930092,1758.964212391739,1773.4818132037988,1789.3900926760552,1803.2559416647066,1824.253729925342,1843.8295933396575,1860.168120099304,1873.4308755342413,1889.6596507949835,1900.8279000179377,1910.0703278864914,1912.834294455158,1916.443342898592,1922.657664743353,1941.6287382840833,1968.4393805115237,1999.0285335006563,2019.0653146686534,2034.2303163842198,2043.8676464621149,2049.665962550923,2051.929988068339,2047.563508376241,2055.1887940835654,2068.0044874564037,2086.7430308579073,2100.4755257794186,2118.7648644473866,2135.7832854975545,2156.6252944791154,2167.6945719409114,2179.0603621421938,2179.1260183940594,2184.075463582689,2189.077522160137,2201.367089819743,2214.8275153067807,2227.9816155267035,2247.0252456667745,2266.9820614347145,2285.4962317899112,2298.2366499597197,2311.5991892847073,2323.490080883449,2330.1499212458593,2334.075712436238,2337.6113896716834,2346.0587948250595,2355.051546318299,2375.885377311866,2392.748832508572,2408.3948999561467,2419.2231856074086,2429.0473791681143,2444.6399272315925,2451.271727439104,2459.129762704156,2455.727391470661,2455.9964167462513,2456.0617190814555,2467.789285252484,2480.1126442887307,2494.7578150428726,2511.7999376636562,2529.1114492792394,2543.997201295769,2555.3363148520866,2555.52167443971
394514,4,"Dallas, TX",msa,TX,1390.266574413506,1398.4701528302392,1408.8601970324453,1422.2044388486456,1435.240467830688,1446.005106705408,1454.640283799047,1457.1251476638308,1458.0337073725443,1457.2029016597296,1457.0523750868115,1458.9642404531392,1462.2646367243349,1471.9363818586082,1481.6998432221153,1494.82925604438,1505.5358406930893,1516.0487913408772,1521.2130387061397,1523.9936936186764,1522.3208214746069,1519.9442867983657,1517.443458939578,1516.9771019512857,1524.9422815430596,1534.8421139042905,1550.388679486985,1562.5198423494664,1575.6270201803861,1583.268462588837,1588.6093342024749,1589.9479746374113,1588.7616602113867,1587.8038239717152,1587.825996433991,1591.0718216686487,1596.1154051738554,1604.4625406432588,1612.9071609523055,1623.9540916107928,1631.2728218709071,1641.0140882862386,1643.0192229432555,1646.1935009168944,1645.5707932389014,1645.5163749778737,1642.9577405520763,1644.8522655773431,1651.3488866220653,1659.0544676813904,1668.3945888924954,1678.29804371026,1690.7911501514443,1697.8780832823425,1700.0525262416734,1700.3904119184228,1700.2705694041085,1702.3281717052719,1704.4114018048422,1703.2160835784114,1705.837786481402,1711.003041936587,1722.8655316879117,1727.7670362399829,1734.8458763032845,1742.3513740208336,1754.5834496573666,1763.067415206498,1771.2329872446755,1780.3853455817846,1790.3587703045507,1800.8555302887758,1813.0549977409019,1829.34392466815,1846.7826113920066,1869.5861074753511,1896.588344296589,1927.0039561818785,1956.3954457755688,1981.2364428256014,2002.741223474792,2021.0683535547753,2032.1556276432555,2040.1352289517865,2050.7725662696153,2068.890610303276,2090.880945223323,2112.534550946302,2136.305062376908,2162.710165729259,2182.0691007500855,2191.9713416619843,2193.0488777593673,2194.4233175858603,2196.1014508281,2198.606816895128,2201.5662433380216,2207.3163643008324,2219.832857751895,2231.3110546440453,2246.563234443165,2257.7728645562966,2268.3499914104846,2270.9043888475494,2269.009039546754,2261.9950908838446,2261.9045051699486,2260.7668258110634,2267.569861300963,2275.0697532657227,2291.0636999422018,2302.122161171217,2308.00016570098,2313.85272489915,2317.4088877463914,2317.9226235243873,2310.6145812496993,2303.296807267139,2297.9575538465506,2295.89276657309,2301.766878774305,2313.5373291603855,2331.8391097645103,2341.8162565230464,2345.508355213541,2342.5063846641756,2339.2489104256165,2333.939916079557,2331.4734423091104,2330.115986992152,2328.4463955371825,2325.2525627060745,2327.283833524643,2334.992367890033,2340.7584296577083,2354.189002074031,2363.654100324785,2372.1897699633073,2369.682725726142,2371.2354558383754
394692,5,"Houston, TX",msa,TX,1555.1855652639226,1558.848888304623,1567.2525822396842,1579.250338537285,1591.7599886690161,1601.71068753117,1604.4938926060065,1604.2499361357243,1599.1937520713207,1594.5223707037094,1590.408138137228,1585.8283314218397,1587.408349473874,1587.6546754778678,1593.5840736601663,1596.3394281649382,1601.131365155477,1604.85145898666,1604.0061451252107,1601.1212663963975,1592.8682847487064,1585.1679976356727,1575.302160600863,1570.47919370247,1573.494662247227,1585.0219494812432,1597.0871416818395,1606.5793118289293,1613.7654719798288,1618.8281005134172,1619.7537457027656,1619.2719522041414,1624.9110399297251,1631.2277909161833,1636.0264334674107,1635.5089425663177,1639.9228178871726,1645.6031201236078,1652.847765492824,1658.2276460766618,1664.5523268956902,1671.1977852153484,1670.8057500261677,1670.7821780547274,1667.1471920649792,1665.6732197517233,1660.4470579624267,1658.8599101605907,1661.095426462624,1668.0343131527832,1677.6187143539385,1688.9890442892536,1699.4041242783678,1705.62266392779,1706.6084721735926,1704.6432372646798,1703.5242313959886,1701.7564541202335,1700.0518705105171,1699.310524480423,1704.7369178516265,1711.9639875045875,1719.801477263622,1719.3825824434493,1723.6678899035471,1727.6494700246978,1739.6347582458616,1749.9336621576401,1759.0028420416993,1766.4575804504157,1771.0668289928542,1778.1042970492413,1792.0921818117517,1805.91590418824,1818.1786205990848,1831.3743606431,1852.4540030582505,1876.2748008224812,1889.4411803100968,1902.720802113806,1911.2839405852455,1925.787666325842,1932.3271043728141,1941.009638548695,1950.468835787742,1966.3363098391412,1978.709292627395,1992.2513487211038,2002.8144829136456,2024.3560766912635,2037.7932062984892,2047.471648871733,2046.1637310680412,2049.450166027698,2047.917547127477,2050.2807867062556,2053.381024067612,2064.9075675322897,2078.0147288846297,2089.064535737263,2101.032740533541,2114.434563895203,2127.752997751311,2133.910784192567,2131.5493512395205,2128.7385448032446,2125.1187346090173,2127.6799700973575,2129.8580482549155,2142.519652092606,2150.9897241479644,2163.87048728267,2171.106422715373,2182.318841925557,2188.18779985204,2191.774646518658,2190.173868374124,2187.6069105359115,2188.67040850841,2190.972169857612,2194.378373397634,2198.7470429046853,2207.590413269297,2216.684383225008,2221.7346415919837,2222.325476294828,2221.9279960153895,2220.2465424910743,2218.8620619502212,2215.948715465149,2214.526516500587,2212.578548527797,2213.095736846734,2212.158713702304,2217.997301782785,2223.8084273978134,2235.165008148214,2241.8379098937135,2246.8271985457573,2242.190719633189
395209,6,"Washington, DC",msa,VA,2083.378578472946,2098.0571164884186,2114.491401958426,2125.255800819491,2133.689129538643,2143.5807384869545,2148.690687233303,2145.2291626495776,2143.6565739002463,2136.5506198698345,2135.943228486036,2131.8702299214456,2137.3296555393863,2147.325487184457,2159.0530729184234,2166.836571108886,2176.673168671526,2185.1570515494436,2193.3576358179125,2195.3790985677624,2187.918556804223,2182.0731153614715,2172.901378346538,2169.8617868502056,2175.7383031612962,2190.2179461705023,2209.838103414466,2222.9839997183544,2233.8012708319175,2242.61361939653,2247.3758120807233,2244.9806256631755,2240.8271123012028,2232.2508556910984,2228.201051086665,2230.1325791669346,2238.106641892007,2247.301968685708,2258.6665429330073,2273.2671365725128,2287.5368174134887,2296.546447679116,2301.47129735716,2304.822353591259,2298.906822661467,2291.602581515293,2288.445329242831,2289.669990536922,2294.75957313807,2306.9489894704516,2325.026361196994,2344.9978579570547,2355.2210048220304,2364.0952157891797,2364.90811468289,2368.5245265828835,2368.571841635424,2365.060599319254,2358.880504328419,2350.7975471612813,2357.553952568452,2368.5419733163476,2391.8738445018794,2405.7786492913633,2419.367613291831,2424.6516652163414,2434.8609309650983,2442.4908384343053,2450.57313723358,2449.2287353339525,2450.4591748363705,2448.8200915758234,2460.495397841649,2467.785168373319,2489.9710855792264,2512.06787911909,2543.647041089021,2566.766416136941,2587.5473639803295,2603.856801088771,2616.3262905258475,2625.382823486077,2630.5542641800234,2632.9977369849125,2646.0582523569606,2668.8735478806425,2694.9552578945136,2726.2887902783423,2747.6191340115925,2771.1704547450177,2784.3431405271635,2793.2441235559704,2804.008596617582,2801.3346557028294,2801.521069126044,2802.193986171365,2812.2170154209657,2828.2020346340896,2846.756088040706,2869.070671073815,2892.825105560496,2915.9672106653347,2935.519055333065,2948.6141292228035,2952.725511810016,2956.499512136596,2961.617370204649,2967.801832670506,2974.628120204529,2987.6874635869294,3009.1496133385776,3036.009754424416,3057.7539482627203,3079.062196213721,3094.210718297892,3103.0440972379038,3104.6712104409658,3098.78747038466,3103.179305762126,3100.633649153954,3119.097597891563,3136.4157521394254,3166.2267592493145,3175.4453403210523,3181.796507287947,3187.4852310602187,3200.829614086403,3206.8519513430165,3209.3621252174275,3197.216627385653,3188.8232262822726,3179.2482659266793,3198.628347240226,3216.082214387504,3246.983814645912,3259.3000786278485,3273.8377273585215,3276.4058389689776,3283.2064835454444,3291.7756304696645
394974,7,"Philadelphia, PA",msa,PA,1334.476795579433,1342.7529297066324,1353.2909293879632,1359.3267352167168,1365.9040334363694,1369.1783756752543,1374.0951874518153,1374.460589781,1375.0379766655299,1373.9594034517825,1371.0321704060773,1371.063272847253,1373.1696250258126,1380.4873710487218,1389.1926990274671,1398.855100922387,1406.7588432334094,1413.3329185886867,1415.0358476561225,1415.260859820715,1410.3981178908427,1409.0823988663535,1411.8521960255075,1416.6329061859863,1423.2023456591878,1430.4206926480144,1442.1651772623884,1451.3676468219692,1457.1781580780519,1456.5643329232785,1458.0320802308772,1458.8946151176428,1462.2424021012966,1465.429957151369,1466.73098799065,1468.5189806437538,1466.759925614349,1473.9707080406693,1486.493661076328,1500.264025910845,1510.0914714005332,1514.881022344811,1513.1839592633835,1512.3318054469744,1512.6739045766774,1517.146666306235,1521.2070356691565,1522.635592581162,1527.85564682574,1536.5359019181046,1546.5181423162635,1558.6479838114237,1565.8309481967926,1573.335894238827,1575.4386483100277,1576.0440317890884,1576.4506198605868,1580.820210179885,1582.1362781836121,1584.5578493245491,1587.3765991013388,1596.6301585574977,1609.401938487031,1614.7604562246784,1623.3031229382104,1629.0434575758968,1642.2892562538984,1649.5831549107945,1659.120951003864,1663.907418674018,1669.4751379480847,1677.435621876867,1691.0654914576212,1705.15411239227,1712.4080846229776,1726.066121480836,1743.631243802468,1760.8966177462278,1774.189004082877,1787.2242320601595,1788.4329476393214,1801.8018388375576,1816.194359421033,1843.2812063609679,1857.3446175536774,1866.3696696434367,1880.4692968053514,1894.3647851292712,1910.8535857099178,1925.8026649259423,1938.1587311271687,1948.0641735805652,1955.2590700948247,1956.1037852732022,1960.0884586085099,1958.0519895701473,1969.2989582252324,1979.2604385700918,1995.9361541115609,2007.3932499637453,2016.0783659809267,2022.9612120516617,2028.5981125329342,2036.1163995567308,2051.388998434066,2069.0648292727983,2078.820253599036,2079.6608877306753,2080.9617963633004,2089.5852792249957,2105.463779961899,2117.200815185676,2129.6344984216057,2135.12357644108,2138.186943020387,2146.636462412421,2156.326809516145,2168.8586801684414,2176.324422911698,2187.225844756955,2196.3320516841786,2205.8010724317787,2203.5255368381418,2207.4730768566483,2212.078975727888,2220.5180418811274,2229.2038431975093,2233.4533249137753,2242.594873841521,2246.692364427626,2250.485786886183,2254.3055283276,2257.1453922462306,2270.073429623178,2280.8511559935578,2299.6370910458395,2303.8473300626815,2308.89856334366,2309.4044204674033,2314.0208189845066
394856,8,"Miami, FL",msa,FL,1713.820685460237,1717.538331960395,1727.723648607643,1737.3844606071239,1744.683485220403,1750.9024454205182,1761.9723992897268,1771.7798848289701,1783.3135788951624,1790.8037258887168,1805.1502685338162,1810.0624949661274,1818.7002594139685,1815.1883272087414,1819.9259088448998,1821.6609126806222,1829.8194399028562,1830.79329156435,1834.930555433262,1838.0186118479342,1846.9477933842095,1850.23434319115,1856.239096306899,1854.8040320426962,1859.7340013401745,1866.9905057969988,1881.126387600155,1888.0309542656023,1891.4034822011706,1896.511727476799,1905.522795815397,1913.466214892558,1917.8738617210556,1924.1109648090835,1927.780057725164,1933.9533725273354,1938.573822707067,1944.5103019823878,1950.246679946565,1956.3851630617014,1963.2446214450554,1967.2382922027439,1971.01624914593,1978.7090244703652,1985.9415929055826,1996.0981017077802,2000.7036283197274,2002.57260980929,2003.3272648572445,2007.1381650264898,2016.792478220064,2021.8227300154979,2028.2331485058778,2035.4279989212098,2041.6563828259198,2044.2770739677114,2051.0979857165007,2064.4714888661692,2078.9721202743094,2084.585816949666,2082.8942497304047,2088.270788354334,2090.7037714912813,2092.597490238995,2091.805903658861,2101.8063801060707,2120.435752495159,2137.9897457433167,2159.886525776817,2193.466754504478,2223.158501928059,2248.9415361168058,2258.2065307265916,2274.426545922907,2284.1287152399323,2313.445459691633,2347.3012344322974,2402.939791899734,2459.3855347532794,2526.66134874503,2597.935238774914,2648.8684586149425,2708.884027174146,2756.917858151849,2811.3018401777717,2847.2732632502166,2893.3808390043278,2951.6080315567374,3013.4018668440385,3059.8953754391373,3091.798349366055,3111.5551509656543,3120.7210709331707,3131.474870769755,3138.132043265117,3142.6559556458683,3135.4394851953125,3131.3310430029896,3134.458296939852,3151.291718261328,3168.1777247358823,3188.0359445363392,3197.893849326716,3209.2230716957247,3221.4047761655124,3240.5108100935417,3248.0564583740356,3238.690084019356,3229.5634701395766,3234.747756142542,3250.4595905340066,3266.215682745863,3276.154245944821,3281.632552269719,3288.9934634407723,3299.6402637953197,3309.048070505815,3308.097032126552,3310.7772381313653,3316.007168126865,3320.173159539589,3322.236728753227,3330.3820721119814,3338.532106779729,3340.789510759664,3342.2458577595903,3347.5643733354814,3348.596996982556,3344.4949730546437,3355.490877398784,3355.834655718252,3364.7047761524077,3356.2865433219617,3364.0534121976284,3372.3644061479895,3389.9974819656477,3403.8913693431664,3409.428815904043,3419.4251939049527,3435.574145308954
394347,9,"Atlanta, GA",msa,GA,1140.3963230132108,1147.0028472237382,1150.5031988633123,1159.7798243013635,1167.783404560835,1179.486331700399,1186.3738647165,1189.2904900886263,1189.8323588339604,1189.5814442133503,1188.6144425450725,1192.430937852951,1197.7939558973733,1206.894699805224,1213.5385626412572,1221.0844150135174,1230.9355427234605,1240.6494707083561,1249.47252978432,1253.3326951778395,1252.7941929190024,1252.5426628308821,1251.147266463542,1254.0237885698655,1258.941990904548,1268.7858232044425,1281.2245180004115,1293.745388950051,1306.6728322385916,1317.458751297509,1327.1257258648507,1329.409333510553,1331.150599308419,1327.642064003678,1333.1981703061783,1335.1585708232387,1343.5046043712841,1348.4865200278439,1361.8563373929924,1372.8001513202369,1384.8680695166647,1390.972246491922,1396.8250233716028,1398.9198800855543,1400.8855591519641,1405.4920026565462,1410.0493378885933,1414.2493842785047,1418.6171486734554,1426.613232504467,1439.4299694176011,1452.8552404230315,1464.9178832472069,1475.104180993672,1480.0977042309235,1482.7169451133266,1484.1273733200273,1485.8509166300144,1488.908530982756,1490.6776626871865,1495.4741216416364,1504.2281284016688,1517.436659041817,1528.714326144062,1540.0490061348494,1553.3066167893087,1568.9371081908348,1586.6710708466046,1601.403541766849,1616.5689414015817,1626.525944869495,1637.2300662759385,1651.3612885441144,1672.3446574300265,1695.878109597843,1723.1249722897023,1748.9788177863036,1779.1950801251496,1806.1512345588042,1839.331245324772,1864.0946151892874,1887.789582714223,1899.8897486821659,1908.4974333130695,1915.7944949258554,1925.0795866961878,1940.154814748315,1955.1692996089903,1974.7462443997108,1998.1806858622144,2023.6438958073693,2041.911002564203,2051.4149075342334,2054.2464995976943,2052.93295475409,2058.288701216886,2057.1583789656543,2062.6136671142986,2068.7357325654257,2079.437848117203,2089.1815757007575,2092.521076835464,2100.168231520382,2105.1774956422455,2109.575720199556,2102.862092527663,2094.0209383136976,2092.4913807976986,2106.587227693555,2127.9375960786797,2141.829821893705,2148.9790912564836,2149.954992449496,2160.0303526275534,2169.082585051626,2177.700626180073,2174.788630800618,2171.8157192105514,2169.2308510910934,2173.928675082017,2181.3761277254803,2197.0174013039405,2206.8571202071125,2218.1197682830325,2223.2059309136507,2230.0725603726796,2236.605782779135,2242.2964638568565,2248.0547420942034,2247.1855695093636,2243.3215239990923,2239.2466542611564,2240.2951940731505,2246.4163046992967,2253.705225973362,2264.754096808654,2276.9094500369756,2286.0483169858253,2294.690836957507,2295.9195325764595
